No.	日付	海域	マス	出撃	ランク	敵艦隊	提督レベル	自陣形	敵陣形	自索敵	敵索敵	制空権	会敵	自触接	敵触接	自照明弾	敵照明弾	戦闘種別	艦名1	艦名2	艦名3	艦名4	艦名5	艦名6	自艦隊	巡目	攻撃艦	砲撃種別	砲撃回数	表示装備1	表示装備2	表示装備3	クリティカル	ダメージ	かばう	攻撃艦.編成順	攻撃艦.ID	攻撃艦.名前	攻撃艦.種別	攻撃艦.疲労	攻撃艦.戦闘後疲労	攻撃艦.残耐久	攻撃艦.最大耐久	攻撃艦.損傷	攻撃艦.残燃料	攻撃艦.戦闘後残燃料	攻撃艦.最大燃料	攻撃艦.残弾薬	攻撃艦.戦闘後残弾薬	攻撃艦.最大弾薬	攻撃艦.Lv	攻撃艦.速力	攻撃艦.火力	攻撃艦.雷装	攻撃艦.対空	攻撃艦.装甲	攻撃艦.回避	攻撃艦.対潜	攻撃艦.索敵	攻撃艦.運	攻撃艦.射程	攻撃艦.装備1.名前	攻撃艦.装備1.改修	攻撃艦.装備1.熟練度	攻撃艦.装備1.搭載数	攻撃艦.装備1.戦闘後搭載数	攻撃艦.装備2.名前	攻撃艦.装備2.改修	攻撃艦.装備2.熟練度	攻撃艦.装備2.搭載数	攻撃艦.装備2.戦闘後搭載数	攻撃艦.装備3.名前	攻撃艦.装備3.改修	攻撃艦.装備3.熟練度	攻撃艦.装備3.搭載数	攻撃艦.装備3.戦闘後搭載数	攻撃艦.装備4.名前	攻撃艦.装備4.改修	攻撃艦.装備4.熟練度	攻撃艦.装備4.搭載数	攻撃艦.装備4.戦闘後搭載数	攻撃艦.装備5.名前	攻撃艦.装備5.改修	攻撃艦.装備5.熟練度	攻撃艦.装備5.搭載数	攻撃艦.装備5.戦闘後搭載数	攻撃艦.装備6.名前	攻撃艦.装備6.改修	攻撃艦.装備6.熟練度	攻撃艦.装備6.搭載数	攻撃艦.装備6.戦闘後搭載数	防御艦.編成順	防御艦.ID	防御艦.名前	防御艦.種別	防御艦.疲労	防御艦.戦闘後疲労	防御艦.残耐久	防御艦.最大耐久	防御艦.損傷	防御艦.残燃料	防御艦.戦闘後残燃料	防御艦.最大燃料	防御艦.残弾薬	防御艦.戦闘後残弾薬	防御艦.最大弾薬	防御艦.Lv	防御艦.速力	防御艦.火力	防御艦.雷装	防御艦.対空	防御艦.装甲	防御艦.回避	防御艦.対潜	防御艦.索敵	防御艦.運	防御艦.射程	防御艦.装備1.名前	防御艦.装備1.改修	防御艦.装備1.熟練度	防御艦.装備1.搭載数	防御艦.装備1.戦闘後搭載数	防御艦.装備2.名前	防御艦.装備2.改修	防御艦.装備2.熟練度	防御艦.装備2.搭載数	防御艦.装備2.戦闘後搭載数	防御艦.装備3.名前	防御艦.装備3.改修	防御艦.装備3.熟練度	防御艦.装備3.搭載数	防御艦.装備3.戦闘後搭載数	防御艦.装備4.名前	防御艦.装備4.改修	防御艦.装備4.熟練度	防御艦.装備4.搭載数	防御艦.装備4.戦闘後搭載数	防御艦.装備5.名前	防御艦.装備5.改修	防御艦.装備5.熟練度	防御艦.装備5.搭載数	防御艦.装備5.戦闘後搭載数	防御艦.装備6.名前	防御艦.装備6.改修	防御艦.装備6.熟練度	防御艦.装備6.搭載数	防御艦.装備6.戦闘後搭載数	艦隊種類	敵艦隊種類
1	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	先制対潜	自軍	0	0	Hedgehog(初期型)			1	65	1	5	629	Fletcher Mk.II	駆逐艦	49	59	43	43	小破未満	25	23	25	25	25	25	121	高速	72	82	116	58	111	127	78	50	中	5inch単装砲 Mk.30改+GFCS Mk.37	0	0	0	0	5inch単装砲 Mk.30改	0	0	0	0	Hedgehog(初期型)	2	0	0	0																3	1532	潜水カ級 elite	潜水艦			27	27	小破未満			0			0	50	低速	0	78	0	21	0	0	0	0	短	高速深海魚雷					21inch魚雷前期型					21inch魚雷前期型																				通常艦隊	通常艦隊
2	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	1	自軍	0	0	試製 夜間瑞雲(攻撃装備)			1	6	0	1	916	大和改二重	航空戦艦	84	87	66	107	小破	300	276	300	400	400	400	137	低速	239	0	122	133	78	75	102	25	超長	試製51cm三連装砲	0	0	2	2	46cm三連装砲改	8	0	2	2	強風改	10	7	8	8	試製 夜間瑞雲(攻撃装備)	0	7	22	21	一式徹甲弾改	10	0	2	2	15m二重測距儀改+21号電探改二+熟練射撃指揮所	0	0			1	1535	潜水ヨ級 flagship	潜水艦			44	44	小破未満			0			0	50	低速	0	121	0	36	0	0	0	0	短	高速深海魚雷					高速深海魚雷					21inch魚雷後期型																				通常艦隊	通常艦隊
3	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	1	自軍	0	0	SG レーダー(後期型)			1	38	0	6	656	雪風改二	駆逐艦	49	49	40	40	小破未満	15	14	15	25	25	25	138	高速	93	97	119	60	139	98	76	67	長	10cm連装高角砲+高射装置	10	0	0	0	10cm連装高角砲+高射装置	10	0	0	0	SG レーダー(後期型)	2	0	0	0											水雷戦隊 熟練見張員	4	0			4	1530	潜水カ級	潜水艦			19	19	小破未満			0			0	50	低速	0	46	0	7	0	0	0	0	短	21inch魚雷前期型					21inch魚雷前期型																									通常艦隊	通常艦隊
4	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	1	自軍	0	0	Hedgehog(初期型)			1	83	1	5	629	Fletcher Mk.II	駆逐艦	49	59	43	43	小破未満	25	23	25	25	25	25	121	高速	72	82	116	58	111	127	78	50	中	5inch単装砲 Mk.30改+GFCS Mk.37	0	0	0	0	5inch単装砲 Mk.30改	0	0	0	0	Hedgehog(初期型)	2	0	0	0																5	1530	潜水カ級	潜水艦			19	19	小破未満			0			0	50	低速	0	46	0	7	0	0	0	0	短	21inch魚雷前期型					21inch魚雷前期型																									通常艦隊	通常艦隊
5	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	1	自軍	0	0				1	3	0	4	650	宗谷	補給艦	49	49	28	30	小破未満	25	23	25	5	5	5	115	低速	1	0	0	89	88	4	34	82	短	増設バルジ(大型艦)	0	0	1	1	増設バルジ(大型艦)	0	0	2	2	増設バルジ(大型艦)	0	0	3	3																2	1532	潜水カ級 elite	潜水艦			27	27	小破未満			0			0	50	低速	0	78	0	21	0	0	0	0	短	高速深海魚雷					21inch魚雷前期型					21inch魚雷前期型																				通常艦隊	通常艦隊
6	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	2	自軍	0	0	試製 夜間瑞雲(攻撃装備)			1	19	0	1	916	大和改二重	航空戦艦	84	87	66	107	小破	300	276	300	400	400	400	137	低速	239	0	122	133	78	75	102	25	超長	試製51cm三連装砲	0	0	2	2	46cm三連装砲改	8	0	2	2	強風改	10	7	8	8	試製 夜間瑞雲(攻撃装備)	0	7	22	21	一式徹甲弾改	10	0	2	2	15m二重測距儀改+21号電探改二+熟練射撃指揮所	0	0			2	1532	潜水カ級 elite	潜水艦			24	27	小破未満			0			0	50	低速	0	78	0	21	0	0	0	0	短	高速深海魚雷					21inch魚雷前期型					21inch魚雷前期型																				通常艦隊	通常艦隊
7	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	2	自軍	0	0				1	0	0	4	650	宗谷	補給艦	49	49	28	30	小破未満	25	23	25	5	5	5	115	低速	1	0	0	89	88	4	34	82	短	増設バルジ(大型艦)	0	0	1	1	増設バルジ(大型艦)	0	0	2	2	増設バルジ(大型艦)	0	0	3	3																2	1532	潜水カ級 elite	潜水艦			5	27	大破			0			0	50	低速	0	78	0	21	0	0	0	0	短	高速深海魚雷					21inch魚雷前期型					21inch魚雷前期型																				通常艦隊	通常艦隊
8	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	2	自軍	0	0	Hedgehog(初期型)			1	67	0	5	629	Fletcher Mk.II	駆逐艦	49	59	43	43	小破未満	25	23	25	25	25	25	121	高速	72	82	116	58	111	127	78	50	中	5inch単装砲 Mk.30改+GFCS Mk.37	0	0	0	0	5inch単装砲 Mk.30改	0	0	0	0	Hedgehog(初期型)	2	0	0	0																2	1532	潜水カ級 elite	潜水艦			5	27	大破			0			0	50	低速	0	78	0	21	0	0	0	0	短	高速深海魚雷					21inch魚雷前期型					21inch魚雷前期型																				通常艦隊	通常艦隊
9	2023-09-04 11:55:01	サーモン海域北方	マップ:5-5 セル:2	出撃	勝利A	深海南方潜水艦隊 哨戒線	120	単横陣	単横陣	発見!	発見!(索敵機なし)	制空権確保	同航戦					砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	2	自軍	0	0	SG レーダー(後期型)			1	3	0	6	656	雪風改二	駆逐艦	49	49	40	40	小破未満	15	14	15	25	25	25	138	高速	93	97	119	60	139	98	76	67	長	10cm連装高角砲+高射装置	10	0	0	0	10cm連装高角砲+高射装置	10	0	0	0	SG レーダー(後期型)	2	0	0	0											水雷戦隊 熟練見張員	4	0			1	1535	潜水ヨ級 flagship	潜水艦			38	44	小破未満			0			0	50	低速	0	121	0	36	0	0	0	0	短	高速深海魚雷					高速深海魚雷					21inch魚雷後期型																				通常艦隊	通常艦隊
10	2023-09-04 11:56:49	サーモン海域北方	マップ:5-5 セル:8		勝利S	敵機動部隊 C群	120	単縦陣	輪形陣	発見!	発見!	制空権確保	反航戦	彩雲(東カロリン空)				砲撃戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	1	自軍	2	0	51cm連装砲	51cm連装砲		1	201	0	2	546	武蔵改二	戦艦	80	91	108	108	小破未満	253	154	275	350	280	350	144	低速	227	0	129	130	82	7	89	15	超長	51cm連装砲	10	0	5	5	51cm連装砲	10	0	5	5	零式水上偵察機11型乙改(夜偵)	0	7	5	5	二式水戦改(熟練)	1	7	8	8	一式徹甲弾改	10	0	5	5	15m二重測距儀+21号電探改二	0	0			6	1577	駆逐ハ級後期型	駆逐艦			38	38	小破未満			0			0	1	高速	46	82	36	29	0	7	0	0	短	5inch連装砲					高速深海魚雷					深海爆雷投射機																				通常艦隊	通常艦隊
